English,Korean,lib,web,,,,,
Mobile Number Available Message,휴대폰 번호 사용 가능 메시지,lib,web,,,,,
Mobile Number,휴대폰 번호,lib,web,,,,,
Discard subsequent rules,후속 규칙 삭제,lib,web,,,,,
Edit Review '%1',후기 편집 '%1',module,Magento_Review,,,,,
Create an account on our site now and earn %1.,회원가입하고 %1적립하세요.,module,Magento_Reward,,,,,
You can track your order status by creating an account.,회원가입을 하면 주문 상태를 추적할 수 있습니다.,module,Magento_Checkout,,,,,
Please use the following link to create an account and view the deals:,회원가입을 하고 프로모션을 이용하려면 다음 링크를 따라가세요.,module,Magento_Invitation,,,,,
Account Created:,회원가입:,module,Magento_Customer,,,,,
Account Created in:,회원가입 경로:,module,Magento_Customer,,,,,
Account Created on (%1):,회원가입 시기(%1):,module,Magento_Customer,,,,,
Account Created in,회원가입 경로:,module,Magento_Customer,,,,,
Registered Customers,회원 로그인,module,Magento_Customer,,,,,
Registered Customers,회원 로그인,module,Magento_CustomerSegment,,,,,
Create an Account,회원 가입,module,Magento_Company,,,,,
Create an Account,회원 가입,module,Magento_Customer,,,,,
Create an Account,회원 가입,module,Magento_CustomerCustomAttributes,,,,,
Company Status Change,회사현황 변경,module,Magento_Company,,,,,
Enable Company,회사 활성화,lib,web,,,,,
Company Code,회사 코드,lib,web,,,,,
Company Email:,회사 이메일:,module,Magento_Company,,,,,
Company Email,회사 이메일,module,Magento_Company,,,,,
Company is too long.,회사 이름이 너무 깁니다.,module,Magento_Braintree,,,,,
Send Company Credit Change Email Copy To,회사 신용 변경 이메일 사본 보내기,lib,web,,,,,
Company Credit Change Email Sender,회사 신용 변경 이메일 발신자,lib,web,,,,,
Company Credit,회사 신용,module,Magento_CompanyCredit,,,,,
Company Credit,회사 신용,lib,web,,,,,
This email is sent when company status changes Blocked.,회사 상태가 차단됨으로 변경되면 전송되는 이메일입니다.,module,Magento_Company,,,,,
This email is sent when company status changes to Rejected.,회사 상태가 거부됨으로 변경되면 이 이메일이 전송됩니다.,module,Magento_Company,,,,,
Send Company Status Change Email Copy To,회사 상태 변경 이메일 사본 보내기,module,Magento_Company,,,,,
Company Legal Name,회사 법적 이름,lib,web,,,,,
Company Registration Email Recipient,회사 등록 이메일 수신자,lib,web,,,,,
Send Company Registration Email Copy To,회사 등록 이메일 사본 보내기,lib,web,,,,,
Company Configuration Section,회사 구성 섹션,module,Magento_Company,,,,,
Company Configuration,회사 구성,module,Magento_Company,,,,,
Company admin,회사 관리자,module,Magento_Company,,,,,
Company Admin,회사 관리자,module,Magento_Company,,,,,
Company,회사,module,Magento_Braintree,,,,,
Companies,회사,module,Magento_Company,,,,,
Company,회사,module,Magento_Company,,,,,
Company,회사,module,Magento_Customer,,,,,
Company,회사,module,Magento_CustomerCustomAttributes,,,,,
Company,회사,module,Magento_GiftRegistry,,,,,
Company,회사,module,Magento_NegotiableQuote,,,,,
Company,회사,module,Magento_Sales,,,,,
Company,회사,module,Magento_SharedCatalog,,,,,
Companies,회사,lib,web,,,,,
Enabled Actions,활성화된 작업,lib,web,,,,,
Enable Button,활성화 버튼,lib,web,,,,,
Enabled,활성화,module,Magento_Authorizenet,,,,,
Enabled,활성화,module,Magento_AuthorizenetAcceptjs,,,,,
Enabled,활성화,module,Magento_Backend,,,,,
Active,활성화,module,Magento_Banner,,,,,
Enabled,활성화,module,Magento_Catalog,,,,,
Active,활성화,module,Magento_CatalogRule,,,,,
Active,활성화,module,Magento_CatalogRuleStaging,,,,,
Enabled,활성화,module,Magento_CatalogStaging,,,,,
Enabled,활성화,module,Magento_CheckoutAgreements,,,,,
Enabled,활성화,module,Magento_Cms,,,,,
Active,활성화,module,Magento_Company,,,,,
Enabled,활성화,module,Magento_CompanyCredit,,,,,
Active,활성화,module,Magento_CustomerSegment,,,,,
Enabled,활성화,module,Magento_Cybersource,,,,,
Enabled,활성화,module,Magento_Directory,,,,,
Enabled,활성화,module,Magento_Eway,,,,,
Active,활성화,module,Magento_GiftCardAccount,,,,,
Active,활성화,module,Magento_GiftRegistry,,,,,
Enabled,활성화,module,Magento_GiftWrapping,,,,,
Enabled,활성화,module,Magento_InstantPurchase,,,,,
Active,활성화,module,Magento_Integration,,,,,
Enabled,활성화,module,Magento_NegotiableQuote,,,,,
Enabled,활성화,module,Magento_OfflinePayments,,,,,
Enabled,활성화,module,Magento_OfflineShipping,,,,,
Active,활성화,module,Magento_Paypal,,,,,
Enabled,활성화,module,Magento_Paypal,,,,,
Active,활성화,module,Magento_Reminder,,,,,
Active,활성화,module,Magento_Review,,,,,
Enabled,활성화,module,Magento_Rma,,,,,
Enabled,활성화,module,Magento_Sales,,,,,
Active,활성화,module,Magento_SalesRule,,,,,
Active,활성화,module,Magento_SalesRuleStaging,,,,,
Enabled,활성화,module,Magento_ScheduledImportExport,,,,,
Enabled,활성화,module,Magento_SendFriend,,,,,
Enabled,활성화,module,Magento_Sitemap,,,,,
Active,활성화,module,Magento_Staging,,,,,
Enabled,활성화,module,Magento_Support,,,,,
Active,활성화,module,Magento_TargetRule,,,,,
Active,활성화,module,Magento_User,,,,,
Enabled,활성화,module,Magento_Wishlist,,,,,
Enabled,활성화,module,Magento_Worldpay,,,,,
Active filters,활성 필터,lib,web,,,,,
Active Status,활성 상태,lib,web,,,,,
Enable,활성화,module,Magento_Backend,,,,,
Enable,활성화,module,Magento_Catalog,,,,,
Enable,활성화,module,Magento_CatalogPermissions,,,,,
Enable,활성화,module,Magento_Cms,,,,,
Enable,활성화,module,Magento_Config,,,,,
Enable,활성화,module,Magento_GoogleAdwords,,,,,
Enable,활성화,module,Magento_GoogleAnalytics,,,,,
Enable,활성화,module,Magento_Sales,,,,,
Is Active,활성,lib,web,,,,,
You must first configure currency options before being able to see currency rates.,환율을 보기위해서는 먼저 통화 옵션을 설정해야만 합니다.,module,Magento_CurrencySymbol,,,,,
Save Currency Rates,환율 저장,module,Magento_CurrencySymbol,,,,,
Manage Currency Rates,환율 관리,module,Magento_CurrencySymbol,,,,,
Manage Currency Rates,환율 관리,module,Magento_Logging,,,,,
Currency Converter API,환율 계산기 API,module,Magento_Directory,,,,,
Currency Rates,환율,module,Magento_CurrencySymbol,,,,,
"Welcome, please sign in",환영합니다! 로그인하세요.,module,Magento_Backend,,,,,
welcome,환영합니다,module,Magento_Theme,,,,,
Welcome Email,환영 이메일,module,Magento_Customer,,,,,
Refunded,환불됨,module,Magento_Bundle,,,,,
Refunded,환불됨,module,Magento_CompanyCredit,,,,,
Refunded,환불됨,module,Magento_CustomerBalance,,,,,
Refunded,환불됨,module,Magento_Downloadable,,,,,
Refunded,환불됨,module,Magento_Reports,,,,,
Refunded,환불됨,module,Magento_Sales,,,,,
Refunded,환불됨,module,Magento_SalesArchive,,,,,
Refunded Email Template,환불된 이메일 템플릿,module,Magento_CompanyCredit,,,,,
Deduct Reward Points from Refund Amount Automatically,환불금액에서 리워드포인트 자동 차감,module,Magento_Reward,,,,,
Refunds Report,환불 보고서,lib,web,,,,,
Refunded Orders,환불 된 주문,lib,web,,,,,
Refund Ids,환불 ID,lib,web,,,,,
refund,환불,module,Magento_Authorizenet,,,,,
Refunds,환불,lib,web,,,,,
Reimbursed Email Template,환급 이메일 템플릿,module,Magento_CompanyCredit,,,,,
Configuration,환경설정,module,Magento_Analytics,,,,,
Configuration,환경설정,module,Magento_Config,,,,,
Configuration,환경설정,module,Magento_Signifyd,,,,,
Configuration,환경설정,module,Magento_Store,,,,,
Configuration,환경설정,module,Magento_Support,,,,,
Configuration,환경설정,module,Magento_Theme,,,,,
Environment Update Time,환경 업데이트 시간,lib,web,,,,,
Environment,환경,module,Magento_AuthorizenetAcceptjs,,,,,
Environment,환경,module,Magento_Braintree,,,,,
Environment,환경,module,Magento_Support,,,,,
Enable Extension,확장 활성화,lib,web,,,,,
Confirmation Not Required,확인할 필요가 없습니다.,module,Magento_Customer,,,,,
Confirm,확인하기,lib,web,,,,,
Confirmation Required,확인이 필요합니다.,module,Magento_Customer,,,,,
This email does not require confirmation.,확인이 필요하지 않는 이메일 입니다.,module,Magento_Customer,,,,,
Confirmed,확인됨,module,Magento_Customer,,,,,
Confirmed email:,확인된 이메일:,module,Magento_Customer,,,,,
Need to Confirm,확인 필요,lib,web,,,,,
